ticker,event_date,label,prev_close,premarket_open,premarket_high,market_open,day_high,day_low,close,avg_volume_20d,day_volume,premarket_volume,premarket_dollar_volume,market_cap,free_float,short_float_pct,days_to_cover,utilization_rate,borrow_fee_rate,reverse_split_in_last_24m,reverse_split_dates,offering_in_last_12m,registered_direct_or_pipe_in_last_12m,atm_offering_or_dilution_risk,deficiency_notice,otc_risk,all_time_high_or_major_5y_high,drawdown_from_major_high_pct,has_never_reverse_split,former_runner_history,number_of_prior_explosive_days,highest_intraday_expansion_last_252d_pct,max_volume_shock_last_252d,clean_collapse_recovery_candidate,years_since_major_peak,distance_from_52w_low_pct,premarket_gap_pct,premarket_vwap,premarket_hold_quality,premarket_range_pct,open_vs_prev_close_pct,open_vs_premarket_high_pct,first_5m_high,first_5m_low,first_5m_close,opening_range_break_yes_no,first_pullback_hold_yes_no,rvol,close_strength,above_vwap_yes_no,breakout_distance_pct,distance_to_20d_high_pct,distance_to_50d_high_pct,sma20,sma50,sma150,sma200,price_above_sma50_yes_no,price_above_sma200_yes_no,vcp_like_contraction_yes_no,ttm_squeeze_on,ttm_squeeze_fired,atr_14,amihud_illiquidity_proxy,headline_primary,headline_secondary,catalyst_type,catalyst_freshness_hours,news_source_quality,narrative_pivot_yes_no,notes
SNOA,2024-01-31,FAILED_SETUP,3.2,,,3.0,6.4,3.0,3.8,106141.5,2635625,,,4614774,1710434.0,2.94,1.23,,,NO,2013-04-01;2016-06-27;2019-06-20,,,,,,53.599998,94.03,NO,NO,0.0,56.7,,YES,1.02,33.33,,,,,-6.25,,,,,,,24.83,0.235,,33.33,-33.33,-38.46,3.58,3.528,11.934667,14.13,NO,NO,NO,YES,NO,0.614286,0.38562194,,,,,,,"It looked explosive intraday with about 100% peak expansion, but the close_strength faded to 0.23 and next-day follow-through failed."
KITT,2024-02-28,FAILED_SETUP,99.241196,,,139.676392,140.940002,105.461998,113.400002,969.05,161358,,,13703230,31452209.0,19.47,0.77,,,NO,,,,,,,1325.160034,92.51,YES,YES,1.0,125.65,265.23,YES,1.03,20.5,,,,,40.74,,,,,,,166.51,0.224,,-7.45,-34.83,-62.07,107.355778,150.630189,436.446785,492.695129,NO,NO,YES,NO,NO,9.093292,0.60606938,,,,,,,"It looked explosive intraday with about 42% peak expansion, but the close_strength faded to 0.22 and next-day follow-through failed."
JTAI,2024-03-15,FAILED_SETUP,29745.0,,,48600.0,63000.0,43920.0,48600.0,17.95,2257,,,4488875,573553.0,10.73,0.39,,,NO,,,,,,,787500.0,96.22,YES,YES,2.0,135.88,,YES,0.61,0.15,,,,,63.39,,,,,,,125.74,0.245,,4.48,-50.67,-58.69,41469.75,45355.5,94924.8,193977.9,NO,NO,YES,NO,YES,6476.785714,0.12018977,,,,,,,"It looked explosive intraday with about 112% peak expansion, but the close_strength faded to 0.24 and next-day follow-through failed."
ANL,2024-04-08,FAILED_SETUP,8.286,,,11.07,17.48,10.54,12.32,2070.0,213900,,,881081408,66377243.0,2.39,6.89,,,NO,,,,,,,19.299999,57.07,YES,NO,,,,NO,0.53,,,,,,33.6,,,,,,,103.33,0.256,,57.05,-25.55,-25.55,9.02805,8.45924,,,NO,NO,NO,NO,NO,0.526429,,,,,,,,"It looked explosive intraday with about 111% peak expansion, but the close_strength faded to 0.26 and next-day follow-through failed."
FCUV,2024-04-26,FAILED_SETUP,28.299999,,,28.0,54.0,28.0,32.200001,5007.05,202635,,,4156359,900622.0,3.55,1.57,,,NO,,,,,,,514.0,94.49,YES,YES,1.0,100.0,29.65,YES,1.23,20.43,,,,,-1.06,,,,,,,40.47,0.162,,8.0,-43.4,-65.99,32.68,40.27,120.066667,134.685,NO,NO,YES,NO,NO,7.842857,1.68626555,,,,,,,"It looked explosive intraday with about 91% peak expansion, but the close_strength faded to 0.16 and next-day follow-through failed."
DCX,2024-05-21,FAILED_SETUP,12492.0,,,13320.0,28728.0,13032.0,18360.0,1.05,199,,,4457646,27006.0,0.81,0.75,,,NO,,,,,,,468720.0,97.33,YES,YES,1.0,120.0,58.39,YES,1.08,47.03,,,,,6.63,,,,,,,189.52,0.339,,104.62,-11.03,-52.85,12150.0,13698.0,31853.76,41377.14,NO,NO,NO,YES,NO,1864.285714,,,,,,,,"It looked explosive intraday with about 130% peak expansion, but the close_strength faded to 0.34 and next-day follow-through failed."
OPTT,2024-06-26,FAILED_SETUP,0.13,,,0.18,0.27,0.18,0.18,6625105.0,403537200,,,86192856,218726923.0,8.36,2.37,,,NO,2015-10-29;2019-03-12,,,,,,0.77,83.12,NO,NO,0.0,26.32,30.02,YES,0.94,8.33,,,,,38.46,,,,,,,60.91,0.0,,12.5,-45.83,-45.83,0.157,0.1788,0.262133,0.2851,NO,NO,NO,NO,NO,0.013571,0.06305254,,,,,,,"It looked explosive intraday with about 108% peak expansion, but the close_strength faded to 0.00 and next-day follow-through failed."
CVM,2024-07-26,FAILED_SETUP,36.299999,,,48.900002,66.599998,33.299999,39.299999,7970.05,1952163,,,33324390,7944056.0,5.58,12.8,,,NO,1995-05-01;2013-09-25;2017-06-15,,,,,,99.900002,63.66,NO,YES,1.0,115.89,209.18,YES,1.39,16.35,,,,,34.71,,,,,,,244.94,0.18,,39.62,-23.9,-23.9,38.055,38.118,55.764,57.21,NO,NO,NO,NO,NO,3.664286,0.16146446,,,,,,,"It looked explosive intraday with about 83% peak expansion, but the close_strength faded to 0.18 and next-day follow-through failed."
ENVB,2024-07-30,FAILED_SETUP,1344.599976,,,1539.0,2079.0,1377.0,1568.699951,160.35,18877,,,7247203,1847878.0,3.75,1.79,,,NO,2019-11-25;2020-12-31;2022-07-15,,,,,,18846.0,92.87,NO,YES,1.0,251.38,212.54,YES,1.19,21.46,,,,,14.46,,,,,,,117.72,0.273,,17.74,-23.85,-47.3,1351.619995,1746.467993,2451.527996,2957.593497,NO,NO,NO,YES,NO,171.064287,0.34482359,,,,,,,"It looked explosive intraday with about 55% peak expansion, but the close_strength faded to 0.27 and next-day follow-through failed."
VCIG,2024-10-29,FAILED_SETUP,135828.0,,,199332.0,241668.0,148176.0,165816.0,5.95,180,,,4275702,20769.0,1.4,0.03,,,NO,,,,,,,42697620.0,99.68,YES,YES,1.0,99.24,,YES,1.49,5.48,,,,,46.75,,,,,,,30.25,0.189,,-17.96,-53.89,-71.48,197127.0,246607.2,960968.4,1195551.0,NO,NO,YES,NO,NO,28476.0,0.08322747,,,,,,,"It looked explosive intraday with about 78% peak expansion, but the close_strength faded to 0.19 and next-day follow-through failed."
EVTV,2025-01-29,FAILED_SETUP,5.69,,,7.4,8.1,6.07,6.67,4607.0,4728350,,,22758068,12549004.0,7.97,0.98,,,NO,2022-06-27,,,,,,40.900002,86.09,NO,NO,0.0,52.35,78.72,YES,1.98,1.61,,,,,30.05,,,,,,,1026.34,0.296,,-42.14,-59.36,-68.94,10.417,12.8968,16.288733,16.88895,NO,NO,NO,NO,NO,1.105714,0.95942802,,,,,,,"It looked explosive intraday with about 42% peak expansion, but the close_strength faded to 0.30 and next-day follow-through failed."
